name,latitude,longitude,population
Shanghai,31.22222,121.45806,22315474
Buenos Aires,-34.61315,-58.37723,13076300
Mumbai,19.07283,72.88261,12691836
Mexico City,19.42847,-99.12766,12294193
Beijing,39.9075,116.39723,11716620
Karachi,24.9056,67.0822,11624219
İstanbul,41.01384,28.94966,11174257
Tianjin,39.14222,117.17667,11090314
Guangzhou,23.11667,113.25,11071424
Delhi,28.65381,77.22897,10927986
Manila,14.6042,120.9822,10444527
Moscow,55.75222,37.61556,10381222
Shenzhen,22.54554,114.0683,10358381
Dhaka,23.7104,90.40744,10356500
Seoul,37.566,126.9784,10349312
São Paulo,-23.5475,-46.63611,10021295
Wuhan,30.58333,114.26667,9785388
Lagos,6.45407,3.39467,9000000
Jakarta,-6.21462,106.84513,8540121
Tokyo,35.6895,139.69171,8336599
New York City,40.71427,-74.00597,8175133
Dongguan,23.04889,113.74472,8000000
Taipei,25.04776,121.53185,7871900
Kinshasa,-4.32758,15.31357,7785965
Lima,-12.04318,-77.02824,7737002
Cairo,30.06263,31.24967,7734614
Bogotá,4.60971,-74.08175,7674366
London,51.50853,-0.12574,7556900
City of London,51.51279,-0.09184,7556900
Chongqing,29.56278,106.55278,7457600
Chengdu,30.66667,104.06667,7415590
Nanjing,32.06167,118.77778,7165292
Tehrān,35.69439,51.42151,7153309
Nanchong,30.79508,106.08473,7150000
Hong Kong,22.28552,114.15769,7012738
Xi’an,34.25833,108.92861,6501190
Lahore,31.54972,74.34361,6310888
Shenyang,41.79222,123.43278,6255921
Hangzhou,30.29365,120.16142,6241971
Rio de Janeiro,-22.90278,-43.2075,6023699
Harbin,45.75,126.65,5878939
Baghdad,33.34058,44.40088,5672513
Tai’an,36.18528,117.12,5499000
Suzhou,31.30408,120.59538,5345961
Shantou,23.36814,116.71479,5329024
Bangkok,13.75398,100.50144,5104476
Bangalore,12.97194,77.59369,5104047
Saint Petersburg,59.93863,30.31413,5028000
Santiago,-33.45694,-70.64827,4837295
Kolkata,22.56263,88.36304,4631392
Sydney,-33.86785,151.20732,4627345
Yangon,16.80528,96.15611,4477638
Jinan,36.66833,116.99722,4335989
Chennai,13.08784,80.27847,4328063
Zhengzhou,34.75778,113.64861,4253913
Melbourne,-37.814,144.96332,4246375
Riyadh,24.68773,46.72185,4205961
Changchun,43.88,125.32278,4193073
Dalian,38.91222,121.60222,4087733
Chittagong,22.3384,91.83168,3920222
Kunming,25.03889,102.71833,3855346
Alexandria,31.21564,29.95527,3811516
Los Angeles,34.05223,-118.24368,3792621
Ahmedabad,23.02579,72.58727,3719710
Qingdao,36.06605,120.36939,3718835
Busan,35.10278,129.04028,3678555
Abidjan,5.30966,-4.01266,3677115
Kano,12.00012,8.51672,3626068
Foshan,23.02677,113.13148,3600000
Hyderabad,17.38405,78.45636,3597816
Puyang,29.45679,119.88872,3590000
Yokohama,35.44778,139.6425,3574443
Ibadan,7.37756,3.90591,3565108
Singapore,1.28967,103.85007,3547809
Wuxi,31.56887,120.28857,3543719
Xiamen,24.47979,118.08187,3531347
Ankara,39.91987,32.85427,3517182
Tianshui,34.57952,105.74238,3500000
Ningbo,29.87819,121.54945,3491597
Ho Chi Minh City,10.82302,106.62965,3467331
Shiyan,32.6475,110.77806,3460000
Cape Town,-33.92584,18.42322,3433441
Taiyuan,37.86944,112.56028,3426519
Berlin,52.52437,13.41053,3426354
Tangshan,39.63333,118.18333,3372102
Hefei,31.86389,117.28083,3310268
Montréal,45.50884,-73.58781,3268513
Madrid,40.4165,-3.70256,3255944
Pyongyang,39.03385,125.75432,3222000
Casablanca,33.58831,-7.61138,3144909
Zibo,36.79056,118.06333,3129228
Zhongshan,21.31992,110.5723,3121275
Durban,-29.8579,31.0292,3120282
Changsha,28.19874,112.97087,3093980
Kabul,34.52813,69.17233,3043532
Ürümqi,43.80096,87.60046,3029372
Caracas,10.48801,-66.87919,3000000
Pune,18.51957,73.85535,2935744
Sūrat,21.19594,72.83023,2894504
